职位,公司名,地点,薪酬,发布时间
量化研究员,上海量锐信息科技有限公司,上海-黄浦区,2-2.5万/月,11-14
语音识别研发工程师(解码器方向),北京远鉴科技股份有限公司,北京-海淀区,3-5万/月,11-14
资深大数据架构师,上海画龙信息科技有限公司,上海-徐汇区,2-4万/月,11-14
衍生品量化分析师（Quant Analyst),衍升科技（上海）有限公司,上海-虹口区,30-60万/年,11-14
投资风控岗,信达澳银基金管理有限公司,深圳-南山区,1-2.5万/月,11-14
金融外汇数据分析,北京万向联合控股集团有限公司,北京-西城区,0.8-1.5万/月,11-14
图像算法工程师,北京华捷艾米科技有限公司,北京-海淀区,2.5-3万/月,11-14
应用软件开发工程师-北京-00345,大唐无线移动创新中心,北京-海淀区,1-1.4万/月,11-14
技术支持工程师,大唐奇安网络科技有限公司,北京-朝阳区,1-2.5万/月,11-14
人工智能研发工程师,北京奇客创想科技股份有限公司,北京-海淀区,1.5-2.5万/月,11-14
行业研究员-上海虹口-00233,通联数据股份公司,上海-虹口区,1.5-3万/月,11-14
金融管培生（渠道方向）,北京源石创世财富资产管理有限公司,北京-朝阳区,0.8-1万/月,11-14
投研经理,雪松控股集团-金融服务集团,广州-天河区,1.5千以下/月,11-14
量化数据库（开发）工程师,上海卡方信息科技有限公司,上海-黄浦区,1-1.5万/月,11-14
新传媒法务、金融设计室总监、助理,上海荧星影视艺术有限公司,上海-长宁区,0.2-1万/月,11-14
编辑（产品方向）,古联（北京）数字传媒科技有限公司,北京-石景山区,0.8-1万/月,11-14
行业研究员,申万菱信基金管理有限公司,上海,40-50万/年,11-14
科技发展专员,东方微银网络信息（北京）有限公司,北京-海淀区,1-1.5万/月,11-14
医学编辑/学术编辑,上海尤里卡信息科技有限公司,上海-徐汇区,6-8千/月,11-14
程序化（量化）高频交易经理,混沌天成期货股份有限公司,深圳-福田区,1.5-2万/月,11-14
首席公关负责人,上海互浦科技有限公司,上海-闵行区,1-5万/月,11-14
评级分析师（金融机构）,中证鹏元资信评估股份有限公司,深圳,15-20万/年,11-14
Equity Quant Developer,瑞银企业管理（中国）有限公司,上海-浦东新区,,11-14
电子书编辑,北京圣才教育科技股份有限公司,北京-海淀区,1-1.5万/月,11-14
投资经理/投资总监 （业务方向）,北京千佳圆投资基金管理有限公司,北京-朝阳区,2.5-3.5万/月,11-14
投后高级经理/总监,腾邦国际商业服务集团股份有限公司,深圳-福田区,3-4万/月,11-14
研究员,深圳中联德集团有限公司,深圳,30-40万/年,11-14
投资总监,一体未来（北京）信息咨询有限公司,北京-朝阳区,3-5万/月,11-14
运营经理,上海华鑫智城科技有限公司,上海-徐汇区,1.2-1.8万/月,11-14
金融产品经理,杭银消费金融股份有限公司,杭州-下城区,15-25万/年,11-14
研究岗（公募研究方向）,华宝证券有限责任公司,上海,1-2万/月,11-14
投资总监（力合英飞）,力合科创集团有限公司,深圳-南山区,2-2.5万/月,11-14
场外衍生品业务运营,浙商期货有限公司,杭州-下城区,5-8千/月,11-14
TEG13-数据挖掘工程师,深圳市腾讯计算机系统有限公司,深圳,,11-14
运营经理（校招）,浙江齐聚科技有限公司（原呱呱视频）,北京-东城区,1-1.5万/月,11-13
基金产品经理,福华中金互联网信息有限公司,上海-虹口区,1.5-2万/月,11-13
助理研究员,深圳守拙文化传播有限公司,深圳,6-8千/月,11-13
对外交流岗,上海期货与衍生品研究院有限责任公司,异地招聘,20-30万/年,11-13
行业研究员（医药行业）,杭州能欣投资有限公司,杭州,1.5-2万/月,11-13
旅游策划编辑,科学出版社职教技术出版中心,北京-海淀区,10-15万/年,11-13
高级募资总监,深圳仙瞳资本管理有限公司,深圳-南山区,4-5万/月,11-13
高级数据分析员,广州达科区块链科技有限公司,广州-天河区,0.8-1.5万/月,11-13
综合方案总监,深圳市中电数通智慧安全科技股份有限公司,深圳-南山区,1-4万/月,11-13
高级项目经理（对公业务部）,上实融资租赁有限公司,上海-虹口区,35-60万/年,11-13
战略研究经理,PPmoney万惠集团,广州,2-3万/月,11-13
投资经理/高级投资经理/投资总监,深圳市鼎心资本管理有限公司,深圳-南山区,1-5万/月,11-13
资产负债管理岗,易安财产保险股份有限公司,北京-海淀区,2-4万/月,11-13
（低幼中心）营销编辑,中国少年儿童新闻出版总社,北京-朝阳区,6-8千/月,11-13
数据分析师,浙江银江研究院有限公司,杭州-西湖区,0.8-1.5万/月,11-13
高级投资经理,北京海淀科技企业融资担保有限公司,北京-海淀区,1.5-2万/月,11-13
基金运营经理,同策房产咨询股份有限公司,上海-普陀区,2-2.5万/月,11-13
量化实现工程师,九坤投资（北京）有限公司,北京-海淀区,35-60万/年,11-13
投资总监（节能环保行业）/（装备制造行业）,中企云链（北京）金融信息服务有限公司,北京-丰台区,2-3万/月,11-13
机构业务岗,第一创业证券股份有限公司,深圳-福田区,1-1.5万/月,11-13
金融同业部销售岗,上海分公司,北京-西城区,1-1.5万/月,11-13
投资助理（贸易投资）,上海远大产融投资管理有限公司,上海,10-15万/年,11-13
白糖研究员,五矿经易期货有限公司,深圳,15-30万/年,11-13
投资研究部助理研究员,上银基金管理有限公司,上海-浦东新区,1-1.5万/月,11-13
金融分析师,上海恺域信息科技有限公司,上海-杨浦区,1.2-2万/月,11-13
业务助理（实习生）,东方日升融资租赁有限公司,上海-虹口区,3-5千/月,11-13
财富管理研究员,北京当代金融培训有限公司,北京-朝阳区,30-60万/年,11-13
信贷产品经理,上海方付通商务服务有限公司,上海-浦东新区,1.5-2.5万/月,11-13
产品经理(000639),北京万方数据股份有限公司,北京,0.8-1万/月,11-13
编辑,商务印书馆（成都）有限责任公司,北京-东城区,4.5-6千/月,11-13
研究员,深圳市君融财富管理研究院,深圳-福田区,0.8-1.5万/月,11-13
数据分析师——行业研究方向,医药魔方,上海-静安区,0.7-1.6万/月,11-13
金融分析师,深圳市赢时胜信息技术股份有限公司北京分公司,北京-朝阳区,0.8-1.5万/月,11-13
投资发展类（2019年校招）,正大金融 / 正大地产,上海-浦东新区,1.5-2万/月,11-13
量化研究岗（权益研究部）,华泰柏瑞基金管理有限公司,上海,0.8-2万/月,11-13
研究院院长,杭州先途信息技术有限公司,杭州-西湖区,3-5万/月,11-13
投资管理部-信用评估岗,复星联合健康保险股份有限公司,上海-虹口区,1-1.5万/月,11-13
风险管理岗,东海航运保险股份有限公司,上海-浦东新区,15-20万/年,11-13
烯烃期货研究员,信达期货有限公司,杭州,8-15万/年,11-13
期权研究员,上海鸣熙资产管理有限公司,上海-浦东新区,1-3万/月,11-13
TMT股票研究员（自下而上方向）,高致（上海）投资管理有限公司,上海-浦东新区,20-30万/年,11-12
ZBBU-视频编解码算法工程师,广州酷狗计算机科技有限公司,广州-天河区,2-2.5万/月,11-12
投资经理助理,广东空港城投资有限公司,广州-白云区,0.8-1.3万/月,11-12
金融管训生（海外留学生实习岗）,广州锦鹊信息咨询有限公司,广州-天河区,0.8-1万/月,11-12
教师杂志编辑,广州市生旭教育咨询有限公司,广州-番禺区,0.8-1万/月,11-12
实习生/管理培训生（金融）,宁波美立德咨询有限公司上海分公司,上海-浦东新区,4-6千/月,11-12
有色及贵金属研究员,中银国际期货有限责任公司,上海-浦东新区,0.8-1.8万/月,11-12
黑色系商品期货助理分析师,恒泰期货股份有限公司,上海-浦东新区,6-8千/月,11-12
高管-分管投资,益民基金管理有限公司北京分公司,北京-西城区,80-120万/年,11-12
学前分社 儿童文学编辑,华东师范大学出版社有限公司,上海-普陀区,8-10万/年,11-12
投资经理助理,精石投资控股有限公司,杭州-江干区,6-8千/月,11-12
综合管理服务,广州民间金融街管理有限公司,广州-越秀区,0.6-1万/月,11-12
行政主管 B,德施利安资产管理（上海）股份有限公司,上海-长宁区,1.5-2万/月,11-12
财富总监,中国金谷国际信托有限责任公司,北京,1-1.5万/月,11-12
股权投资总监,浙江浙银汇金资产管理有限公司,杭州-江干区,2-2.5万/月,11-12
产品研究员,上海浙商博瑞资产管理研究咨询有限公司,上海-黄浦区,15-25万/年,11-12
量化研究员,上海堃熙投资管理有限公司,上海,0.6-2万/月,11-12
实习行业研究员,汉普基业（北京）投资控股有限公司,北京-朝阳区,0.8-1万/月,11-12
机构销售（北京）,广发基金管理有限公司,北京-西城区,1.5-2.5万/月,11-12
研究院各个领域大组组长,联讯证券股份有限公司,异地招聘,2.5-5万/月,11-12
投资总监（联讯资本）,联讯资本投资有限公司,深圳-福田区,40-80万/年,11-12
新媒体运营,中科数创（北京）数字传媒有限公司,北京-西城区,0.6-1.2万/月,11-12
股票研究员,爱晖资产管理（上海）有限公司,上海-黄浦区,20-30万/年,11-12
投资银行部-ABS业务总监,爱建证券有限责任公司,上海,1-5万/月,11-12
华福证券彩田路营业部合规兼综合人员,华福证券有限责任公司,深圳-福田区,1-1.5万/月,11-12
产品设计,金蝶软件（中国）有限公司,深圳,1.5-2万/月,11-12
行业分析师,东北证券股份有限公司,异地招聘,,11-12
资深人工智能工程师,上海雅捷信息技术股份有限公司,上海-闵行区,2-2.5万/月,11-12
社科类图书选品编辑,北京中信书店有限责任公司,北京,0.6-1万/月,11-12
股票基金经理,广州红猫资产管理有限公司,广州-海珠区,25-100万/年,11-12
高级策展人（总监）,上海宽创国际文化科技股份有限公司,上海-浦东新区,1.2-2.4万/月,11-12
挂牌保荐项目负责人-上股交、新三板,上海荣启投资管理有限公司,上海-闵行区,0.8-1.5万/月,11-12
金融产品经理,民生通惠资产管理有限公司,上海,1-2万/月,11-12
股票交易员,上海雷根资产管理有限公司,上海,0.8-1.2万/月,11-12
图像算法工程师,北京社文知识产权管理有限公司,北京-海淀区,1-1.5万/月,11-12
金融事业部客户经理,东方汇金期货有限公司,北京-东城区,0.8-1万/月,11-12
金融产品项目总监,华泰证券股份有限公司上海分公司,上海-浦东新区,1.5-2万/月,11-12
交易员,泰信基金管理有限公司,上海,0.8-1万/月,11-12
股权投资部投资总监（医疗方向）,繸子资产管理有限公司,深圳-福田区,2-4万/月,11-12
网络推广经理,东莞证券股份有限公司,异地招聘,1-1.5万/月,11-11
行业研究员（医药生物行业）,上海度库资产管理合伙企业（有限合伙）,杭州,1-1.5万/月,11-11
大数据科学家,上海众调信息科技有限公司,上海-杨浦区,3-6万/月,11-11
金融研究总监/首席金融分析师,上海福银投资控股集团有限公司,上海,2-4万/月,11-11
海归硕士金融资产配置,品今（北京）投资基金管理有限公司,北京-朝阳区,0.8-1万/月,11-10
